project_name,domain,difficulty,required_skills,estimated_time,popularity,tags
Weather App,Web Development,Beginner,"React, Django",39,2,"mobile, to-do"
E-commerce Website,Mobile App Development,Advanced,"React, Django",35,2,"mobile, to-do"
Weather App,Web Development,Advanced,"React, Django",8,8,"finance, stock"
Weather App,AI/ML,Advanced,"React, Django",20,7,"blog, platform"
Crypto Tracker,Web Development,Intermediate,"TensorFlow, Keras",34,5,"blog, platform"
To-Do App,Cybersecurity,Advanced,"PHP, Laravel",11,7,"finance, stock"
Stock Predictor,Mobile App Development,Advanced,"Ruby, Rails",34,2,"weather, app"
Chatbot,AI/ML,Intermediate,"Java, Android Studio",33,5,"blog, platform"
To-Do App,Cybersecurity,Intermediate,"Ruby, Rails",15,5,"finance, stock"
Crypto Tracker,Data Science,Beginner,"PHP, Laravel",23,7,"weather, app"
To-Do App,AI/ML,Advanced,"Java, Android Studio",5,2,"finance, stock"
To-Do App,Cybersecurity,Intermediate,"Python, NLP, Flask",12,8,"crypto, tracker"
Crypto Tracker,Mobile App Development,Beginner,"Python, Pandas, NumPy",13,1,"crypto, tracker"
Stock Predictor,Mobile App Development,Intermediate,"Python, Pandas, NumPy",33,10,"blog, platform"
E-commerce Website,Mobile App Development,Advanced,"HTML, CSS, Flask",23,8,"portfolio, web"
E-commerce Website,Cybersecurity,Advanced,"SQL, PostgreSQL",17,3,"chatbot, NLP"
Stock Predictor,Web Development,Advanced,"TensorFlow, Keras",35,3,"blog, platform"
Weather App,Mobile App Development,Intermediate,"HTML, CSS, Flask",7,10,"recipe, finder"
Stock Predictor,Mobile App Development,Beginner,"React, Django",10,1,"finance, stock"
E-commerce Website,Cybersecurity,Advanced,"Ruby, Rails",9,9,"portfolio, web"
Recipe Finder,Cybersecurity,Beginner,"SQL, PostgreSQL",32,6,"social, media"
Web Portfolio,Cybersecurity,Beginner,"Python, Pandas, NumPy",21,2,"e-commerce, web"
Weather App,Data Science,Beginner,"Ruby, Rails",20,5,"blog, platform"
Stock Predictor,AI/ML,Advanced,"Ruby, Rails",25,9,"social, media"
Weather App,AI/ML,Intermediate,"React, Django",24,3,"recipe, finder"
Weather App,Data Science,Intermediate,"Python, Pandas, NumPy",5,9,"recipe, finder"
Chatbot,AI/ML,Advanced,"TensorFlow, Keras",16,5,"finance, stock"
Recipe Finder,Data Science,Intermediate,"Python, Pandas, NumPy",36,8,"recipe, finder"
To-Do App,Cybersecurity,Intermediate,"Ruby, Rails",33,2,"crypto, tracker"
Crypto Tracker,Web Development,Beginner,"Python, Pandas, NumPy",29,10,"mobile, to-do"
To-Do App,Mobile App Development,Advanced,"Python, NLP, Flask",20,8,"recipe, finder"
Recipe Finder,Data Science,Advanced,"Python, Pandas, NumPy",25,7,"chatbot, NLP"
E-commerce Website,AI/ML,Intermediate,"JavaScript, Node.js, Express",23,10,"blog, platform"
Weather App,Data Science,Beginner,"React, Django",5,7,"chatbot, NLP"
Social Media App,Mobile App Development,Advanced,"HTML, CSS, Flask",33,2,"crypto, tracker"
Blog Platform,Cybersecurity,Intermediate,"Ruby, Rails",8,7,"mobile, to-do"
Crypto Tracker,Data Science,Beginner,"TensorFlow, Keras",17,9,"weather, app"
Web Portfolio,Data Science,Advanced,"HTML, CSS, Flask",15,2,"social, media"
E-commerce Website,Cybersecurity,Advanced,"SQL, PostgreSQL",26,8,"crypto, tracker"
Web Portfolio,Cybersecurity,Beginner,"Python, Pandas, NumPy",21,6,"e-commerce, web"
Social Media App,Data Science,Intermediate,"Ruby, Rails",13,3,"chatbot, NLP"
Social Media App,AI/ML,Beginner,"TensorFlow, Keras",15,6,"portfolio, web"
Blog Platform,AI/ML,Advanced,"React, Django",10,7,"chatbot, NLP"
Recipe Finder,Data Science,Advanced,"Python, Pandas, NumPy",16,1,"e-commerce, web"
Recipe Finder,Web Development,Intermediate,"Java, Android Studio",40,4,"crypto, tracker"
Crypto Tracker,Cybersecurity,Beginner,"Python, NLP, Flask",30,1,"e-commerce, web"
Blog Platform,Mobile App Development,Beginner,"SQL, PostgreSQL",12,2,"crypto, tracker"
Blog Platform,Data Science,Intermediate,"HTML, CSS, Flask",6,7,"chatbot, NLP"
Recipe Finder,AI/ML,Advanced,"React, Django",16,8,"e-commerce, web"
Blog Platform,Cybersecurity,Advanced,"Python, Pandas, NumPy",38,3,"e-commerce, web"
Weather App,Web Development,Intermediate,"Python, NLP, Flask",30,6,"e-commerce, web"
Blog Platform,Cybersecurity,Intermediate,"HTML, CSS, Flask",22,9,"weather, app"
Web Portfolio,Mobile App Development,Beginner,"PHP, Laravel",22,9,"crypto, tracker"
E-commerce Website,Web Development,Advanced,"Python, Pandas, NumPy",6,4,"e-commerce, web"
Crypto Tracker,Mobile App Development,Beginner,"JavaScript, Node.js, Express",16,4,"chatbot, NLP"
Web Portfolio,Web Development,Beginner,"SQL, PostgreSQL",13,4,"finance, stock"
Web Portfolio,Cybersecurity,Intermediate,"PHP, Laravel",31,7,"social, media"
Web Portfolio,AI/ML,Intermediate,"Ruby, Rails",11,5,"finance, stock"
E-commerce Website,AI/ML,Advanced,"Python, Pandas, NumPy",30,1,"finance, stock"
Social Media App,Mobile App Development,Advanced,"JavaScript, Node.js, Express",38,6,"e-commerce, web"
E-commerce Website,Data Science,Beginner,"React, Django",12,8,"chatbot, NLP"
Chatbot,Mobile App Development,Intermediate,"React, Django",36,3,"social, media"
Crypto Tracker,Cybersecurity,Advanced,"PHP, Laravel",12,7,"crypto, tracker"
Crypto Tracker,Data Science,Advanced,"Java, Android Studio",18,3,"recipe, finder"
Weather App,Cybersecurity,Advanced,"Python, Pandas, NumPy",27,6,"social, media"
Blog Platform,Data Science,Beginner,"Python, NLP, Flask",13,2,"portfolio, web"
Recipe Finder,Data Science,Intermediate,"React, Django",16,8,"portfolio, web"
Chatbot,AI/ML,Beginner,"JavaScript, Node.js, Express",23,1,"weather, app"
Stock Predictor,Mobile App Development,Advanced,"JavaScript, Node.js, Express",30,2,"e-commerce, web"
Crypto Tracker,Data Science,Advanced,"JavaScript, Node.js, Express",16,6,"weather, app"
Stock Predictor,Cybersecurity,Intermediate,"TensorFlow, Keras",35,7,"crypto, tracker"
E-commerce Website,Data Science,Advanced,"Java, Android Studio",36,9,"social, media"
Web Portfolio,AI/ML,Beginner,"JavaScript, Node.js, Express",10,1,"chatbot, NLP"
Web Portfolio,Mobile App Development,Intermediate,"Java, Android Studio",29,5,"recipe, finder"
Social Media App,Cybersecurity,Intermediate,"SQL, PostgreSQL",30,9,"recipe, finder"
To-Do App,Data Science,Intermediate,"Python, Pandas, NumPy",12,6,"recipe, finder"
Social Media App,AI/ML,Beginner,"Java, Android Studio",35,5,"mobile, to-do"
To-Do App,AI/ML,Beginner,"Ruby, Rails",30,5,"finance, stock"
Chatbot,Mobile App Development,Intermediate,"PHP, Laravel",16,5,"social, media"
Recipe Finder,Mobile App Development,Advanced,"PHP, Laravel",6,9,"crypto, tracker"
Chatbot,Web Development,Beginner,"Ruby, Rails",9,9,"recipe, finder"
Recipe Finder,Data Science,Beginner,"Java, Android Studio",16,5,"social, media"
E-commerce Website,Mobile App Development,Advanced,"Java, Android Studio",26,6,"portfolio, web"
Stock Predictor,Mobile App Development,Intermediate,"Python, NLP, Flask",13,4,"social, media"
Blog Platform,Cybersecurity,Intermediate,"JavaScript, Node.js, Express",13,7,"finance, stock"
Stock Predictor,Web Development,Intermediate,"SQL, PostgreSQL",13,9,"social, media"
To-Do App,Web Development,Intermediate,"HTML, CSS, Flask",16,5,"crypto, tracker"
E-commerce Website,Mobile App Development,Intermediate,"PHP, Laravel",12,2,"weather, app"
Social Media App,Web Development,Advanced,"SQL, PostgreSQL",26,1,"portfolio, web"
Recipe Finder,Web Development,Intermediate,"PHP, Laravel",29,3,"blog, platform"
Chatbot,Mobile App Development,Intermediate,"Python, Pandas, NumPy",21,6,"e-commerce, web"
E-commerce Website,Data Science,Intermediate,"Ruby, Rails",36,5,"blog, platform"
E-commerce Website,Mobile App Development,Intermediate,"JavaScript, Node.js, Express",12,3,"chatbot, NLP"
Recipe Finder,Mobile App Development,Advanced,"SQL, PostgreSQL",13,3,"e-commerce, web"
Blog Platform,AI/ML,Advanced,"HTML, CSS, Flask",8,6,"chatbot, NLP"
Stock Predictor,Data Science,Advanced,"Java, Android Studio",18,4,"finance, stock"
Chatbot,Data Science,Intermediate,"Python, NLP, Flask",8,4,"mobile, to-do"
E-commerce Website,Cybersecurity,Intermediate,"SQL, PostgreSQL",26,9,"social, media"
Blog Platform,Web Development,Beginner,"JavaScript, Node.js, Express",25,7,"social, media"
Recipe Finder,Mobile App Development,Beginner,"Java, Android Studio",28,6,"weather, app"
Chatbot,AI/ML,Advanced,"SQL, PostgreSQL",14,3,"chatbot, NLP"
Stock Predictor,Web Development,Advanced,"HTML, CSS, Flask",17,1,"mobile, to-do"
Social Media App,Cybersecurity,Advanced,"Java, Android Studio",33,6,"social, media"
Blog Platform,AI/ML,Advanced,"Java, Android Studio",32,2,"social, media"
Web Portfolio,Data Science,Advanced,"React, Django",38,2,"portfolio, web"
Web Portfolio,Data Science,Intermediate,"JavaScript, Node.js, Express",40,9,"weather, app"
E-commerce Website,Data Science,Advanced,"Python, Pandas, NumPy",11,6,"chatbot, NLP"
Stock Predictor,Data Science,Advanced,"React, Django",32,6,"chatbot, NLP"
To-Do App,AI/ML,Beginner,"Python, Pandas, NumPy",36,4,"blog, platform"
Chatbot,Mobile App Development,Advanced,"Python, Pandas, NumPy",18,1,"portfolio, web"
Blog Platform,Web Development,Intermediate,"PHP, Laravel",8,6,"social, media"
Weather App,AI/ML,Advanced,"TensorFlow, Keras",35,2,"social, media"
Social Media App,Web Development,Beginner,"Java, Android Studio",28,1,"social, media"
E-commerce Website,Cybersecurity,Beginner,"SQL, PostgreSQL",30,2,"portfolio, web"
Stock Predictor,AI/ML,Beginner,"Python, NLP, Flask",26,5,"social, media"
Crypto Tracker,Data Science,Advanced,"Java, Android Studio",15,7,"mobile, to-do"
Crypto Tracker,Data Science,Intermediate,"Java, Android Studio",9,8,"crypto, tracker"
Chatbot,Mobile App Development,Advanced,"Java, Android Studio",17,7,"e-commerce, web"
Blog Platform,AI/ML,Advanced,"SQL, PostgreSQL",13,5,"weather, app"
Weather App,AI/ML,Advanced,"PHP, Laravel",20,5,"blog, platform"
To-Do App,Data Science,Intermediate,"PHP, Laravel",38,7,"blog, platform"
Recipe Finder,Data Science,Intermediate,"Ruby, Rails",19,6,"portfolio, web"
Web Portfolio,Cybersecurity,Intermediate,"Python, Pandas, NumPy",40,2,"chatbot, NLP"
Social Media App,Web Development,Advanced,"SQL, PostgreSQL",38,8,"social, media"
Social Media App,AI/ML,Intermediate,"TensorFlow, Keras",12,10,"chatbot, NLP"
Chatbot,Mobile App Development,Advanced,"PHP, Laravel",39,3,"social, media"
Recipe Finder,Mobile App Development,Intermediate,"Ruby, Rails",16,4,"social, media"
Crypto Tracker,Data Science,Intermediate,"TensorFlow, Keras",14,3,"e-commerce, web"
Web Portfolio,Cybersecurity,Beginner,"Python, Pandas, NumPy",36,10,"crypto, tracker"
Weather App,AI/ML,Advanced,"JavaScript, Node.js, Express",9,6,"e-commerce, web"
Web Portfolio,AI/ML,Advanced,"Python, NLP, Flask",5,8,"crypto, tracker"
Recipe Finder,Cybersecurity,Intermediate,"PHP, Laravel",7,8,"social, media"
To-Do App,Cybersecurity,Advanced,"TensorFlow, Keras",36,8,"blog, platform"
E-commerce Website,Mobile App Development,Beginner,"React, Django",36,4,"e-commerce, web"
Stock Predictor,Web Development,Beginner,"Java, Android Studio",22,8,"portfolio, web"
Recipe Finder,Cybersecurity,Beginner,"React, Django",38,6,"e-commerce, web"
Recipe Finder,Data Science,Intermediate,"Python, NLP, Flask",5,6,"weather, app"
Chatbot,Mobile App Development,Beginner,"React, Django",7,6,"crypto, tracker"
E-commerce Website,Cybersecurity,Beginner,"SQL, PostgreSQL",14,1,"mobile, to-do"
Stock Predictor,Mobile App Development,Beginner,"React, Django",28,5,"crypto, tracker"
To-Do App,Cybersecurity,Beginner,"PHP, Laravel",37,3,"weather, app"
E-commerce Website,Cybersecurity,Advanced,"Python, NLP, Flask",33,4,"e-commerce, web"
Crypto Tracker,Data Science,Intermediate,"JavaScript, Node.js, Express",30,9,"chatbot, NLP"
Stock Predictor,Mobile App Development,Beginner,"JavaScript, Node.js, Express",14,4,"portfolio, web"
Chatbot,Web Development,Beginner,"React, Django",25,9,"weather, app"
Weather App,Cybersecurity,Advanced,"PHP, Laravel",24,2,"chatbot, NLP"
Stock Predictor,Cybersecurity,Advanced,"PHP, Laravel",40,1,"weather, app"
E-commerce Website,Mobile App Development,Intermediate,"Python, Pandas, NumPy",17,9,"chatbot, NLP"
E-commerce Website,AI/ML,Intermediate,"React, Django",10,4,"chatbot, NLP"
Recipe Finder,Cybersecurity,Beginner,"HTML, CSS, Flask",34,4,"weather, app"
E-commerce Website,Web Development,Beginner,"Java, Android Studio",19,8,"finance, stock"
Weather App,AI/ML,Intermediate,"JavaScript, Node.js, Express",21,9,"social, media"
To-Do App,AI/ML,Beginner,"TensorFlow, Keras",14,9,"crypto, tracker"
Crypto Tracker,AI/ML,Advanced,"SQL, PostgreSQL",27,4,"e-commerce, web"
Web Portfolio,Web Development,Intermediate,"PHP, Laravel",30,7,"portfolio, web"
Recipe Finder,AI/ML,Beginner,"Python, Pandas, NumPy",12,4,"social, media"
Recipe Finder,Mobile App Development,Beginner,"JavaScript, Node.js, Express",17,7,"mobile, to-do"
To-Do App,AI/ML,Advanced,"Python, NLP, Flask",37,4,"weather, app"
Blog Platform,Mobile App Development,Intermediate,"SQL, PostgreSQL",11,10,"e-commerce, web"
Crypto Tracker,AI/ML,Beginner,"PHP, Laravel",31,3,"mobile, to-do"
Stock Predictor,Mobile App Development,Advanced,"HTML, CSS, Flask",15,2,"blog, platform"
Web Portfolio,AI/ML,Intermediate,"SQL, PostgreSQL",36,9,"mobile, to-do"
Chatbot,Data Science,Advanced,"JavaScript, Node.js, Express",7,6,"recipe, finder"
Blog Platform,Cybersecurity,Intermediate,"HTML, CSS, Flask",10,7,"weather, app"
Blog Platform,AI/ML,Advanced,"Ruby, Rails",40,8,"chatbot, NLP"
Web Portfolio,Cybersecurity,Intermediate,"JavaScript, Node.js, Express",27,9,"crypto, tracker"
Web Portfolio,Web Development,Beginner,"PHP, Laravel",23,7,"social, media"
Social Media App,Web Development,Intermediate,"PHP, Laravel",16,10,"weather, app"
E-commerce Website,AI/ML,Intermediate,"JavaScript, Node.js, Express",30,6,"portfolio, web"
Social Media App,Web Development,Advanced,"React, Django",24,8,"crypto, tracker"
E-commerce Website,Cybersecurity,Advanced,"PHP, Laravel",7,4,"e-commerce, web"
Weather App,Cybersecurity,Intermediate,"Java, Android Studio",5,7,"social, media"
Social Media App,Cybersecurity,Beginner,"Ruby, Rails",14,7,"weather, app"
Stock Predictor,Data Science,Intermediate,"Python, Pandas, NumPy",25,7,"e-commerce, web"
Social Media App,Cybersecurity,Intermediate,"HTML, CSS, Flask",35,4,"mobile, to-do"
Chatbot,Mobile App Development,Intermediate,"React, Django",25,6,"recipe, finder"
Social Media App,Mobile App Development,Advanced,"Java, Android Studio",20,10,"portfolio, web"
Web Portfolio,Mobile App Development,Advanced,"PHP, Laravel",8,8,"mobile, to-do"
Social Media App,AI/ML,Advanced,"Python, Pandas, NumPy",37,2,"e-commerce, web"
Weather App,AI/ML,Advanced,"JavaScript, Node.js, Express",24,9,"portfolio, web"
Social Media App,Data Science,Advanced,"Python, NLP, Flask",23,7,"social, media"
To-Do App,Web Development,Advanced,"SQL, PostgreSQL",35,4,"finance, stock"
Blog Platform,Mobile App Development,Advanced,"Python, Pandas, NumPy",31,3,"social, media"
Blog Platform,Mobile App Development,Advanced,"TensorFlow, Keras",37,10,"chatbot, NLP"
Weather App,Web Development,Beginner,"Ruby, Rails",13,2,"blog, platform"
Social Media App,AI/ML,Advanced,"TensorFlow, Keras",11,6,"chatbot, NLP"
Stock Predictor,Data Science,Beginner,"TensorFlow, Keras",22,6,"portfolio, web"
Weather App,AI/ML,Beginner,"HTML, CSS, Flask",40,8,"recipe, finder"
Web Portfolio,AI/ML,Advanced,"Java, Android Studio",9,8,"social, media"
Social Media App,AI/ML,Advanced,"Java, Android Studio",18,1,"e-commerce, web"
Weather App,Data Science,Intermediate,"TensorFlow, Keras",11,2,"blog, platform"
Web Portfolio,AI/ML,Beginner,"Ruby, Rails",32,6,"crypto, tracker"
Blog Platform,Mobile App Development,Intermediate,"Python, NLP, Flask",22,6,"crypto, tracker"
Crypto Tracker,Data Science,Advanced,"Python, NLP, Flask",11,4,"social, media"
Crypto Tracker,Cybersecurity,Advanced,"HTML, CSS, Flask",11,9,"mobile, to-do"
Weather App,AI/ML,Intermediate,"HTML, CSS, Flask",36,7,"portfolio, web"
Stock Predictor,Cybersecurity,Advanced,"HTML, CSS, Flask",18,10,"recipe, finder"
E-commerce Website,Web Development,Beginner,"TensorFlow, Keras",29,1,"blog, platform"
To-Do App,AI/ML,Intermediate,"Python, NLP, Flask",17,6,"mobile, to-do"
E-commerce Website,Cybersecurity,Advanced,"JavaScript, Node.js, Express",27,1,"blog, platform"
